Geneid	Length
YBR068C	2088
YBR069C	2696
YBR070C	800
YBR071W	1024
YBR072W	858
YBR072C-A	162
YBR073W	2885
YBR074W	3032
YBR076W	1065
YBR077C	1183
YBR078W	2023
YBR079C	3072
YBR080C	2432
YBR081C	4133
tR(UCU)B	72
tD(GUC)B	72
YBR082C	617
YBR083W	1576
YBR084W	3168
YBR084C-A	710
YBR085W	1312
YBR085C-A	736
YBR086C	3264
YBR087W	1136
YBR088C	920
YBR089C-A	300
YBR090C	369
YBR091C	330
YBR092C	1576
YBR093C	1528
YBR094W	2416
YBR095C	1440
YBR096W	840
YBR097W	4406
YBR098W	2248
YBR101C	1016
YBR102C	2608
YBR103W	1768
YBR104W	1184
YBR105C	1344
YBR106W	936
YBR107C	1168
YBR108W	3017
YBR109C	704
YBR110W	1664
YBR111C	944
YBR111W-A	466
YBR112C	3328
YBR114W	2504
YBR115C	4384
YBR117C	2046
YBR118W	1568
YBR119W	1095
YBR120C	648
YBR121C	2320
YBR122C	784
YBR123C	2032
YBR125C	1704
YBR126C	1704
YBR127C	1768
YBR128C	1098
YBR129C	1088
YBR130C	1424
YBR131W	2312
YBR132C	2264
YBR133C	2776
YBR135W	688
YBR136W	7160
YBR137W	808
YBR138C	1752
YBR139W	1704
YBR140C	9664
YBR141C	1160
YBR142W	2560
YBR143C	1608
YBR145W	1336
YBR146W	1096
YBR147W	1003
YBR148W	1830
YBR149W	1336
YBR150C	3384
YBR151W	1288
YBR152W	876
YBR153W	735
YBR154C	848
YBR155W	1336
YBR156C	2208
YBR157C	2160
YBR158W	2056
YBR159W	1216
YBR160W	1096
YBR161W	1513
YBR162C	1952
YBR162W-A	344
YBR163W	2192
YBR164C	1064
YBR165W	1040
YBR166C	1576
YBR167C	824
YBR168W	1696
YBR169C	2392
YBR170C	1952
YBR171W	800
YBR172C	2472
YBR173C	608
YBR175W	1072
YBR176W	1112
YBR177C	1608
YBR179C	2760
YBR180W	1719
YBR181C	888
YBR182C	1896
YBR182C-A	195
YBR183W	1224
YBR184W	1592
YBR185C	944
YBR186W	1695
YBR187W	1152
YBR188C	688
YBR189W	691
YBR191W	716
YBR192W	1568
YBR193C	1040
YBR194W	664
YBR195C	1424
YBR196C	1896
YBR196C-A	150
YBR196C-B	105
YBR197C	1112
YBR198C	2584
YBR199W	1608
YBR200W	1896
YBR200W-A	165
YBR201W	871
YBR201C-A	840
YBR202W	2736
YBR203W	3008
YBR204C	1408
YBR205W	1448
YBR207W	1600
YBR208C	6088
tC(GCA)B	72
tE(UUC)B	72
YBR210W	840
YBR211C	1216
YBR212W	2608
YBR213W	891
YBR214W	1808
YBR215W	2052
YBR216C	2328
YBR217W	904
YBR218C	3816
YBR219C	384
YBR220C	1683
YBR221C	1560
YBR221W-A	105
YBR222C	1776
YBR223C	1792
YBR225W	2992
YBR227C	1632
YBR228W	926
YBR229C	3024
YBR230C	615
YBR230W-A	416
LSR1	1175
YBR231C	1000
YBR233W	1488
YBR233W-A	568
YBR234C	1296
YBR235W	3520
YBR236C	1448
YBR237W	2712
YBR238C	2800
YBR239C	1800
YBR240C	2008
YBR241C	1549
YBR242W	936
YBR243C	1552
YBR244W	840
YBR245C	3442
YBR246W	1344
YBR247C	1600
YBR248C	1792
YBR249C	1352
YBR250W	2296
YBR251W	1072
YBR252W	544
YBR253W	496
YBR254C	664
YBR255W	2280
YBR255C-A	474
YBR256C	848
YBR257W	1016
YBR258C	528
YBR259W	2256
YBR260C	2128
YBR261C	864
YBR262C	416
YBR263W	1624
YBR264C	624
YBR265W	1104
YBR267W	1288
YBR268W	480
YBR269C	600
YBR270C	1920
YBR271W	1384
YBR272C	1504
YBR273C	1376
YBR274W	1840
YBR275C	5968
YBR276C	2608
YBR278W	808
YBR279W	1520
YBR280C	2080
YBR281C	2712
YBR282W	552
YBR283C	1816
YBR284W	2888
YBR285W	592
YBR286W	1712
YBR287W	1520
YBR288C	1584
YBR289W	2760
YBR290W	1112
YBR291C	1016
YBR293W	1656
YBR294W	2580
YBR295W	3808
YBR296C	2016
YBR296C-A	120
YBR297W	1664
YBR298C	2272
YBR298C-A	222
YBR299W	1755
YBR301W	363
YBR302C	1140
YCL073C	1848
YCL069W	1377
YCL068C	783
YCL067C	633
YCL066W	528
YCL064C	1712
YCL063W	1400
YCL061C	3568
YCL059C	1104
YCL058C	459
YCL058W-A	416
YCL057C-A	294
YCL057W	2280
YCL056C	465
YCL055W	1048
YCL054W	2632
YCL052C	1448
YCL051W	2120
YCL050C	1034
YCL049C	1144
YCL048W-A	392
YCL048W	1392
YCL047C	944
YCL045C	2360
YCL044C	1480
YCL043C	1648
YCL042W	360
YCL040W	1503
YCL039W	2280
YCL038C	1752
YCL037C	1880
YCL036W	1840
YCL035C	520
YCL034W	1128
YCL033C	576
YCL032W	1288
YCL031C	1040
YCL030C	2616
YCL029C	1488
YCL028W	1368
YCL027W	1539
YCL026C-B	656
YCL026C-A	582
YCL025C	2057
YCL024W	3216
tE(UUC)C	72
YCL021W-A	531
tL(CAA)C	82
YCL018W	1472
YCL017C	1752
YCL016C	1320
YCL014W	5072
YCL012C	525
YCL011C	1392
YCL010C	1000
YCL009C	1080
YCL008C	1296
YCL005W-A	355
snR43	209
YCL005W	1007
YCL004W	1672
YCL002C	1102
YCL001W	672
YCL001W-A	462
YCL001W-B	255
YCR002C	1088
YCR003W	688
YCR004C	1096
YCR005C	1552
tP(AGG)C	72
YCR007C	1784
tN(GUU)C	74
YCR008W	2528
YCR009C	1072
YCR010C	1144
YCR011C	3352
YCR012W	1384
YCR014C	1920
YCR015C	1112
snR33	183
tG(GCC)C	71
YCR016W	1072
YCR017C	3104
YCR018C	679
tM(CAU)C	72
tK(CUU)C	73
YCR019W	1320
YCR020C	651
YCR020C-A	267
YCR020W-B	640
YCR021C	1184
YCR023C	2152
YCR024C	1608
YCR024C-B	267
YCR024C-A	123
YCR026C	2752
YCR027C	1448
tQ(UUG)C	72
YCR028C	2376
YCR028C-A	693
YCR030C	2856
snR65	100
YCR031C	557
snR189	189
YCR032W	6640
YCR033W	4048
YCR034W	1328
YCR035C	1360
YCR036W	1120
YCR037C	2912
YCR038C	1929
YCR039C	633
YCR040W	528
YCR042C	4261
YCR043C	536
YCR044C	1120
YCR045C	1476
YCR046C	672
YCR047C	1104
YCR048W	2016
YCR050C	309
YCR051W	832
YCR052W	1752
YCR053W	1680
YCR054C	1920
YCR057C	2968
YCR059C	944
YCR060W	368
YCR061W	2280
tS(CGA)C	82
YCR063W	984
YCR065W	2040
YCR066W	1592
YCR067C	3432
YCR068W	1816
YCR069W	1208
YCR071C	496
YCR072C	1696
YCR073C	4152
YCR073W-A	984
YCR075C	817
YCR075W-A	344
YCR076C	856
YCR077C	2456
YCR079W	1408
YCR081W	4520
YCR082W	528
YCR083W	520
YCR084C	2720
YCR086W	672
YCR087C-A	586
YCR088W	1912
YCR089W	5144
YCR090C	648
YCR091W	2232
YCR092C	3080
YCR093W	6480
YCR094W	1496
YCR095C	1216
YCR095W-A	1704
YCR096C	360
YCR097W	394
tT(AGU)C	73
YCR098C	1753
YCR099C	468
YCR100C	951
YCR101C	549
YCR102C	1107
YCR104W	375
YCR105W	1086
YCR106W	2507
YCR107W	1092
YCR108C	192
YDL248W	1152
YDL247W	1830
YDL246C	1074
YDL245C	1704
YDL244W	1023
YDL243C	990
YDL241W	1568
YDL240W	3544
YDL239C	2680
YDL238C	1528
YDL237W	1440
YDL236W	1160
YDL235C	735
YDL234C	2456
YDL233W	1600
YDL232W	424
YDL231C	3568
YDL230W	1056
YDL229W	1968
YDL227C	1761
YDL226C	1272
YDL225W	1800
YDL224C	2536
YDL223C	3176
YDL222C	1352
YDL220C	3040
YDL219W	713
YDL218W	954
YDL217C	1200
YDL216C	1360
YDL215C	3536
YDL214C	2176
YDL213C	765
YDL212W	888
YDL211C	1288
tG(GCC)D1	71
YDL210W	1716
YDL209C	1224
YDL208W	632
YDL207W	1688
YDL206W	2440
YDL205C	1224
YDL204W	1704
YDL203C	2112
YDL202W	896
YDL201W	952
YDL200C	696
YDL199C	2328
YDL198C	1096
YDL197C	2104
YDL195W	4080
YDL194W	2904
YDL193W	1432
YDL192W	776
YDL191W	597
YDL190C	3208
YDL189W	1800
YDL188C	1352
YDL186W	834
YDL185W	3488
YDL184C	344
YDL183C	1128
YDL182W	1352
YDL181W	528
YDL180W	1904
YDL179W	1224
YDL178W	1648
YDL177C	600
YDL176W	2328
YDL175C	1264
YDL174C	1880
YDL173W	944
YDL171C	6712
YDL170W	1648
YDL169C	685
YDL168W	1376
YDL167C	2408
YDL166C	720
YDL165W	696
YDL164C	2496
YDL161W	1552
YDL160C-A	448
YDL160C	2408
YDL159W-A	132
YDL159W	1712
YDL157C	600
YDL156W	1808
YDL155W	1568
YDL154W	2706
YDL153C	1960
YDL150W	1480
YDL149W	3080
YDL148C	2784
YDL147W	1528
YDL146W	1856
YDL145C	4064
YDL144C	1224
YDL143W	1736
YDL142C	1032
YDL141W	2536
YDL140C	5928
YDL139C	800
YDL138W	2680
YDL137W	1208
YDL136W	563
YDL135C	984
YDL134C	1728
YDL133C-A	384
YDL133W	1552
YDL132W	2784
YDL131W	1472
YDL130W-A	480
YDL130W	515
YDL129W	1344
YDL128W	1464
YDL127W	1136
YDL126C	2648
YDL125C	793
YDL124W	1040
YDL123W	856
YDL122W	2668
YDL121C	640
YDL120W	760
YDL119C	1216
YDL118W	381
YDL117W	3104
YDL116W	2272
YDL115C	1178
YDL114W	927
YDL113C	2096
YDL112W	4528
YDL111C	936
YDL110C	688
YDL109C	2480
YDL108W	1023
YDL107W	1232
YDL106C	1752
YDL105W	1320
YDL104C	1264
YDL103C	1512
YDL102W	3552
YDL101C	1720
YDL100C	1240
YDL099W	1168
YDL098C	712
YDL097C	1424
YDL095W	2608
YDL093W	2472
YDL092W	560
YDL091C	1600
YDL090C	1440
YDL089W	1792
YDL088C	1840
YDL087C	880
YDL086W	912
YDL085C-A	416
YDL085W	1928
YDL084W	1600
YDL083C	728
YDL082W	771
YDL081C	496
YDL080C	2160
YDL079C	1764
YDL078C	1248
YDL077C	3331
YDL076C	1232
YDL075W	427
snR63	255
YDL074C	2280
YDL073W	3144
YDL072C	899
YDL070W	2121
YDL069C	912
YDL067C	640
YDL066W	1400
YDL065C	1112
YDL064W	682
YDL063C	2104
YDL061C	872
YDL060W	2440
YDL059C	952
YDL058W	5536
YDL057W	1032
YDL056W	2664
YDL055C	1440
tK(UUU)D	73
YDL054C	1608
YDL053C	928
YDL052C	1024
YDL051W	1088
YDL049C	1104
YDL048C	1624
YDL047W	1640
YDL046W	848
YDL045W-A	448
YDL045C	1128
YDL044C	1432
YDL043C	1096
YDL042C	1748
YDL040C	2616
YDL039C	2377
YDL037C	1176
YDL036C	1552
YDL035C	3296
YDL033C	1464
YDL031W	3104
YDL030W	1712
YDL029W	1349
YDL028C	2576
YDL027C	1504
YDL025C	2280
YDL024C	1407
tA(AGC)D	73
YDL022W	1456
YDL021W	1136
YDL020C	1944
YDL019C	4248
YDL018C	936
YDL017W	1688
YDL015C	1240
YDL014W	1368
YDL013W	2080
YDL012C	1042
YDL010W	992
YDL008W	584
tT(AGU)D	73
YDL007C-A	258
tS(AGA)D1	82
YDL007W	1360
YDL006W	1208
YDL005C	1544
YDL004W	768
YDL003W	1928
YDL002C	976
YDL001W	1464
YDR001C	2568
YDR002W	848
YDR003W	633
YDR003W-A	123
YDR004W	1532
YDR005C	1480
YDR006C	2864
YDR007W	1168
YDR009W	1992
YDR011W	4992
YDR012W	1208
YDR013W	704
YDR014W	2040
YDR014W-A	553
YDR016C	432
YDR017C	3416
YDR018C	1376
YDR019C	1203
YDR020C	699
YDR021W	1352
YDR022C	624
tV(UAC)D	74
YDR023W	1576
YDR025W	677
YDR026C	1944
YDR027C	2793
YDR028C	3840
YDR030C	1552
YDR031W	441
YDR032C	880
YDR033W	1776
YDR034C	2584
tL(UAA)D	84
YDR034C-A	177
tQ(UUG)D1	72
YDR034W-B	288
YDR035W	1352
YDR036C	1648
YDR037W	1880
YDR038C	3383
YDR039C	3276
YDR040C	3276
YDR041W	800
YDR042C	666
snR47	99
YDR043C	936
YDR044W	1320
YDR045C	656
YDR046C	1992
YDR047W	1560
YDR049W	1984
YDR050C	864
YDR051C	1072
YDR052C	2424
YDR054C	1424
YDR055W	1560
YDR056C	699
YDR057W	1680
YDR058C	1016
tR(UCU)D	72
tD(GUC)D	72
YDR059C	598
YDR060W	3224
YDR061W	1656
YDR062W	2287
YDR063W	688
YDR064W	581
YDR065W	1688
YDR066C	864
YDR067C	864
YDR068W	1112
YDR069C	3000
YDR070C	408
YDR071C	720
YDR072C	1777
YDR073W	1077
YDR074W	3112
YDR075W	1256
YDR076W	2256
YDR077W	1384
YDR078C	880
YDR079W	568
YDR079C-A	440
YDR080W	3480
YDR081C	2859
YDR082W	1632
YDR083W	1273
YDR084C	857
YDR085C	2104
YDR086C	528
YDR087C	904
YDR088C	1149
tR(ACG)D	73
YDR089W	2800
YDR090C	1400
YDR091C	2232
YDR092W	620
YDR093W	4857
YDR096W	3264
YDR097C	3807
YDR098C	888
tQ(UUG)D2	72
YDR099W	1936
YDR100W	600
YDR101C	1912
YDR103W	3328
YDR104C	3888
YDR105C	1568
YDR106W	855
tI(AAU)D	74
YDR107C	2224
YDR108W	2208
YDR109C	2340
YDR110W	1944
YDR111C	2016
YDR113C	1256
YDR114C	303
YDR115W	568
YDR116C	984
YDR117C	1792
YDR118W	2168
YDR119W	2448
YDR119W-A	448
YDR120C	1898
YDR121W	768
YDR122W	3632
YDR123C	1536
YDR124W	1640
YDR125C	2499
YDR126W	1184
YDR127W	4880
YDR128W	3720
YDR129C	2089
YDR130C	1184
YDR131C	1784
YDR132C	1604
YDR135C	4704
YDR137W	2216
YDR138W	2880
YDR139C	447
YDR140W	728
YDR141C	5320
YDR142C	1288
YDR143C	1994
YDR144C	2016
YDR145W	1784
YDR146C	2328
YDR147W	2040
YDR148C	1808
YDR150W	8299
YDR151C	1368
YDR152W	896
YDR153C	1408
YDR155C	784
YDR156W	528
YDR158W	1272
YDR159W	4032
YDR160W	2730
YDR161W	1232
YDR162C	928
YDR163W	656
YDR164C	2384
YDR165W	1496
YDR166C	2992
YDR167W	768
YDR168W	1592
YDR169C	2216
YDR169C-A	216
YDR170C	6360
tQ(UUG)D3	72
YDR171W	1272
YDR172W	2288
YDR173C	1168
YDR174W	944
YDR175C	1184
YDR176W	2192
YDR177W	856
YDR178W	768
YDR179C	624
YDR179W-A	1577
YDR180W	4632
YDR181C	1495
YDR182W	1476
YDR182W-A	204
YDR183W	749
YDR184C	1184
YDR185C	680
YDR186C	2840
YDR188W	1800
YDR189W	2152
YDR190C	1584
YDR191W	1168
YDR192C	1384
YDR194C	2128
YDR194W-A	153
YDR195W	1840
YDR196C	771
YDR197W	1312
YDR198C	1568
YDR200C	1968
YDR201W	696
YDR202C	1091
YDR204W	1144
YDR205W	2256
YDR206W	3144
YDR207C	2744
YDR208W	2515
YDR210W	576
tI(UAU)D	73
YDR211W	2312
YDR212W	1840
YDR213W	3088
YDR214W	1240
YDR216W	4944
YDR217C	4024
YDR218C	1272
YDR219C	1736
YDR221W	2328
YDR222W	1416
YDR223W	2064
YDR224C	632
YDR225W	656
YDR226W	864
YDR227W	4392
YDR228C	1976
YDR229W	1504
YDR231C	712
YDR232W	2064
YDR233C	1072
YDR234W	2304
YDR235W	1896
YDR236C	720
YDR237W	1192
YDR238C	3216
YDR239C	2472
YDR240C	1528
tY(GUA)D	75
YDR242W	1840
YDR243C	2360
YDR244W	1984
YDR245W	1416
YDR246W	832
YDR246W-A	309
YDR247W	2088
YDR248C	760
YDR249C	1368
YDR251W	2936
YDR252W	1352
YDR253C	990
YDR254W	1976
YDR255C	1520
YDR256C	1691
YDR257C	1744
YDR258C	2536
YDR259C	1368
YDR260C	960
YDR261C	1864
tS(AGA)D2	82
tG(GCC)D2	71
YDR262W	1016
YDR263C	1712
YDR264C	2672
YDR265W	1336
YDR266C	2240
YDR267C	1208
YDR268W	1216
YDR270W	3144
YDR272W	952
YDR273W	1400
YDR275W	1608
YDR276C	696
YDR277C	1720
tE(CUC)D	72
YDR279W	1179
YDR280W	1080
YDR281C	680
YDR282C	1280
YDR283C	5336
YDR284C	1248
YDR285W	2630
YDR286C	432
YDR287W	1160
YDR288W	1080
YDR289C	1424
YDR291W	3448
YDR292C	2160
YDR293C	4840
YDR294C	1864
YDR295C	2279
YDR296W	816
YDR297W	1344
YDR298C	992
YDR299W	1728
YDR300C	1440
YDR301W	4160
YDR302W	808
YDR303C	2984
YDR304C	752
YDR305C	706
YDR306C	1552
tV(CAC)D	73
YDR307W	2152
YDR308C	608
YDR309C	1472
YDR310C	3663
YDR311W	2024
YDR312W	1520
YDR313C	976
YDR314C	2416
YDR315C	912
YDR316W	1464
tF(GAA)D	73
YDR317W	1328
YDR318W	1317
YDR319C	992
YDR320C	2046
YDR320C-A	352
YDR321W	1296
YDR322W	1256
YDR322C-A	528
YDR323C	1728
YDR324C	2511
YDR325W	3136
YDR326C	4632
YDR328C	904
YDR329C	1416
YDR330W	1664
YDR331W	1384
YDR332W	2152
YDR333C	2480
YDR334W	4784
YDR335W	4128
YDR336W	1016
YDR337W	976
YDR338C	2264
YDR339C	688
tX(XXX)D	100
YDR341C	2056
YDR342C	1713
YDR343C	1713
YDR345C	1904
YDR346C	1912
YDR347W	1136
YDR348C	1880
YDR349C	1976
tM(CAU)D	73
YDR350C	2201
YDR351W	2960
YDR352W	1328
YDR353W	1256
YDR354W	1320
YDR356W	3144
YDR357C	624
YDR358W	1848
YDR359C	3249
YDR361C	1144
YDR362C	2272
YDR363W	2408
tK(CUU)D1	73
YDR363W-A	560
YDR364C	1800
YDR365C	1953
YDR366C	399
YDR367W	755
YDR368W	1160
YDR369C	2608
YDR370C	1336
YDR371W	1704
YDR372C	1488
YDR373W	696
YDR374C	921
YDR374W-A	456
YDR375C	1448
YDR376W	1554
YDR377W	792
YDR378C	544
YDR379W	3192
YDR379C-A	375
YDR380W	2128
YDR381W	994
YDR381C-A	646
YDR382W	576
YDR383C	784
YDR384C	1088
YDR385W	2768
YDR386W	2016
YDR387C	1872
YDR388W	1616
YDR389W	2688
YDR390C	2000
tG(CCC)D	72
YDR391C	1192
YDR392W	1088
YDR393W	1568
YDR394W	1488
YDR395W	3072
YDR397C	596
YDR398W	2176
YDR399W	800
YDR400W	1208
YDR402C	1470
YDR403W	1676
YDR404C	784
YDR405W	944
YDR406W	4714
YDR407C	4000
YDR408C	856
YDR409W	2984
YDR410C	824
YDR411C	1136
YDR412W	928
YDR414C	1089
YDR415C	1216
YDR416W	2646
YDR418W	664
YDR419W	2224
tS(AGA)D3	83
YDR420W	5864
YDR421W	3120
YDR422C	2800
YDR423C	1290
YDR424C	359
YDR425W	1976
YDR427W	1280
YDR428C	864
YDR429C	888
YDR430C	3037
YDR432W	1984
YDR434W	1808
YDR435C	1176
YDR436W	2408
YDR437W	423
YDR438W	1116
YDR439W	1296
YDR440W	1912
YDR441C	984
YDR443C	4648
YDR444W	2140
tK(CUU)D2	73
YDR446W	909
YDR447C	678
YDR448W	1464
YDR449C	1424
YDR450W	581
YDR451C	1312
YDR452W	2312
YDR453C	688
YDR454C	704
YDR456W	2032
YDR457W	10040
YDR458C	2216
YDR459C	1424
YDR460W	1224
YDR461W	169
YDR461C-A	456
YDR462W	592
YDR463W	1768
YDR464W	4568
YDR465C	1440
YDR466W	3048
YDR468C	936
YDR469W	800
YDR470C	1688
YDR471W	600
snR13	124
YDR472W	1072
YDR473C	1544
YDR475C	2722
YDR476C	904
YDR477W	2304
YDR478W	1816
YDR479C	1776
YDR480W	1104
YDR481C	1848
YDR482C	584
YDR483W	1472
YDR484W	1976
YDR485C	2528
YDR486C	808
YDR487C	736
YDR488C	1728
YDR489W	1264
YDR490C	2472
YDR492W	1232
YDR493W	584
YDR494W	1264
YDR495C	3128
YDR496C	2088
YDR497C	1920
YDR498C	1248
YDR499W	2296
YDR500C	395
YDR501W	1680
YDR502C	1400
YDR503C	1008
YDR504C	549
YDR505C	2526
YDR506C	1944
tL(CAA)D	82
YDR507C	3624
YDR508C	2248
YDR510W	464
YDR511W	456
YDR512C	662
YDR513W	576
YDR514C	1584
YDR515W	1559
YDR516C	1648
YDR517W	1320
YDR518W	1632
YDR519W	632
YDR520C	2520
YDR522C	1509
YDR523C	1473
YDR524C	1824
YDR524C-B	512
YDR524W-C	90
YDR525W-A	416
YDR527W	1496
snR84	550
YDR528W	1672
YDR529C	632
YDR530C	1312
YDR531W	1240
YDR532C	1200
YDR533C	1040
YDR534C	1587
YDR536W	1816
YDR538W	1768
YDR539W	1952
YDR540C	720
YDR541C	1504
YDR542W	363
YDR545W	5391
YIL177C	5277
YIL176C	363
YIL173W	4650
YIL172C	1770
YIL169C	3167
YIL166C	2040
YIL165C	360
YIL164C	600
YIL162W	1776
YIL161W	715
YIL160C	1791
YIL159W	4232
YIL158W	696
YIL157C	816
YIL156W-B	222
YIL156W	3511
YIL155C	2016
YIL154C	1152
YIL153W	1224
YIL152W	856
YIL151C	3357
YIL150C	1716
YIL149C	5168
YIL148W	622
YIL147C	4128
YIL146C	1904
YIL145C	1312
YIL144W	2264
YIL143C	2912
YIL142W	1656
YIL140W	2800
YIL139C	864
YIL138C	856
YIL137C	2944
YIL136W	1384
YIL135C	1560
YIL134C-A	204
snR68	136
YIL134W	1072
YIL133C	677
YIL132C	872
YIL131C	1632
YIL130W	3096
YIL129C	7264
YIL128W	3216
YIL127C	736
YIL126W	4288
YIL125W	3512
YIL124W	1016
YIL123W	2435
YIL122W	1408
YIL121W	1800
YIL120W	1780
YIL119C	1736
YIL118W	952
YIL117C	1160
YIL116W	1304
YIL115C	4688
YIL114C	1016
YIL113W	720
YIL112W	3282
YIL111W	616
YIL110W	1336
YIL109C	3048
YIL108W	2368
YIL107C	2643
YIL106W	1163
YIL105C	2384
YIL104C	1656
YIL103W	1408
YIL102C-A	1432
YIL102C	306
tT(AGU)I1	73
YIL101C	2078
YIL099W	1650
YIL098C	501
YIL097W	1565
YIL096C	1064
tI(AAU)I1	74
YIL095W	2600
YIL094C	1536
YIL093C	984
YIL092W	2096
YIL091C	2264
YIL090W	1944
YIL089W	1095
tE(CUC)I	72
YIL088C	1616
YIL087C	632
YIL085C	1554
YIL084C	1208
YIL083C	1480
tI(AAU)I2	74
YIL079C	1240
YIL078W	2320
YIL077C	1608
YIL076W	1088
YIL075C	3016
YIL074C	1640
YIL073C	3048
YIL072W	1818
YIL071C	1448
YIL070C	1000
YIL069C	711
YIL068C	2592
YIL067C	2152
YIL066C	2610
YIL065C	632
YIL064W	774
YIL063C	1088
YIL062C	632
YIL061C	1104
YIL060W	435
